time,id,eclass,CO2,CO,HC,NOx,PMx,fuel,electricity,noise,route,type,waiting,lane,pos,speed,angle,x,y
14.00,4,HBEFA3/PC_G_EU4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.76,!4,DEFAULT_VEHTYPE,0.00,C0D0_0,84.58,3.14,90.00,291.78,-1.60
14.00,5,HBEFA3/PC_G_EU4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.89,!5,DEFAULT_VEHTYPE,0.00,B1B0_0,76.25,11.10,180.00,98.40,16.55
14.00,6,HBEFA3/PC_G_EU4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.25,!6,DEFAULT_VEHTYPE,0.00,A1A0_0,74.16,13.24,180.00,-1.60,18.64
14.00,7,HBEFA3/PC_G_EU4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.41,!7,DEFAULT_VEHTYPE,0.00,D1C1_0,62.75,11.07,270.00,230.05,101.60
14.00,8,HBEFA3/PC_G_EU4,6196.76,90.40,0.56,2.58,0.12,1976.47,0.00,67.28,!8,DEFAULT_VEHTYPE,0.00,B1B0_0,49.63,11.49,180.00,98.40,43.17
14.00,9,HBEFA3/PC_G_EU4,7682.29,134.28,0.80,3.32,0.16,2450.28,0.00,69.69,!9,DEFAULT_VEHTYPE,0.00,D4C4_0,33.98,9.96,270.00,258.82,401.60
15.00,0,HBEFA3/PC_G_EU4,10881.01,172.42,1.05,4.74,0.24,3470.49,0.00,72.64,!0,DEFAULT_VEHTYPE,0.00,E0E1_0,41.34,13.48,0.00,401.60,44.54
15.00,1,HBEFA3/PC_G_EU4,6932.99,95.86,0.60,2.90,0.13,2211.29,0.00,68.21,!1,DEFAULT_VEHTYPE,0.00,B1B0_0,39.32,12.77,180.00,98.40,53.48
15.00,10,HBEFA3/PC_G_EU4,3925.51,112.36,0.60,1.68,0.08,1252.08,0.00,63.89,!10,DEFAULT_VEHTYPE,0.00,D4C4_0,16.18,5.09,270.00,276.62,401.60
15.00,11,HBEFA3/PC_G_EU4,4868.07,102.10,0.58,2.06,0.09,1552.70,0.00,65.47,!11,DEFAULT_VEHTYPE,0.00,B3C3_0,25.61,7.48,90.00,132.81,298.40
15.00,12,HBEFA3/PC_G_EU4,6361.74,145.82,0.82,2.79,0.13,2029.11,0.00,69.76,!12,DEFAULT_VEHTYPE,0.00,E3E2_0,17.33,6.39,180.00,398.40,275.47
15.00,13,HBEFA3/PC_G_EU4,4746.48,138.28,0.74,2.08,0.10,1513.93,0.00,67.39,!13,DEFAULT_VEHTYPE,0.00,A2B2_0,11.77,4.44,90.00,18.97,198.40
15.00,14,HBEFA3/PC_G_EU4,3937.35,150.76,0.78,1.76,0.09,1255.87,0.00,67.74,!14,DEFAULT_VEHTYPE,0.00,E0D0_0,7.57,2.47,270.00,389.23,1.60
15.00,15,HBEFA3/PC_G_EU4,2624.72,164.78,0.81,1.20,0.07,837.22,0.00,55.94,!15,DEFAULT_VEHTYPE,0.00,D4C4_0,5.10,0.00,270.00,287.70,401.60
15.00,2,HBEFA3/PC_G_EU4,4393.02,102.11,0.57,1.86,0.08,1401.19,0.00,64.62,!2,DEFAULT_VEHTYPE,0.00,E2E1_0,7.80,6.65,180.00,398.40,185.00
15.00,3,HBEFA3/PC_G_EU4,6399.95,114.97,0.68,2.74,0.13,2041.28,0.00,67.86,!3,DEFAULT_VEHTYPE,0.00,E2D2_0,11.69,9.23,270.00,381.11,201.60
15.00,4,HBEFA3/PC_G_EU4,2680.81,107.87,0.55,1.13,0.05,855.09,0.00,59.44,!4,DEFAULT_VEHTYPE,0.00,:D0_11_0,1.13,3.59,65.20,294.29,0.21
15.00,5,HBEFA3/PC_G_EU4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.32,!5,DEFAULT_VEHTYPE,0.00,B1B0_0,83.09,6.83,180.00,98.40,9.71
